SLDB 2011;;
Vybrané ukazatele o území podle výsledků SLDB k 26.3.2011;;
;;
Popis datového souboru  (SLDB_OBYVATELSTVO);;
OBYVATELSTVO;;
Položka;Význam;Poznámka
Typuz_naz;typ území;např. stát, kraj, okres, obec, …
Nazev;Název územní jednotky;
uzcis;kód územního číselníku;43 - obec, 44- městská část (obvod), 65 - správní obvod ORP, 72 - správní obvody Prahy, 97 - ČR,  100 - kraj, 101 - okres
uzkod;kód položky územního číselníku;viz soubor seznam území
VSE1111;Obyvatelstvo celkem;
VSE1112;Obyvatelstvo muži;
VSE1113;Obyvatelstvo ženy;
VSE1121;Obyvatelstvo - rodinný stav svobodní;
VSE1122;Obyvatelstvo - rodinný stav svobodní - muži;
VSE1123;Obyvatelstvo - rodinný stav svobodné - ženy;
VSE1131;Obyvatelstvo - rodinný stav ženatí a vdané;
VSE1132;Obyvatelstvo - rodinný stav ženatí - muži;
VSE1133;Obyvatelstvo - rodinný stav vdané - ženy;
VSE1141;Obyvatelstvo - rodinný stav rozvedení ;
VSE1142;Obyvatelstvo - rodinný stav rozvedení - muži;
VSE1143;Obyvatelstvo - rodinný stav rozvedené - ženy;
VSE1151;Obyvatelstvo - rodinný stav ovdovělí;
VSE1152;Obyvatelstvo - rodinný stav vdovci;
VSE1153;Obyvatelstvo - rodinný stav vdovy;
VSE2111;Obyvatelstvo ve věku 15 a více let;
VSE2112;Obyvatelstvo ve věku 15 a více let - muži;
VSE2113;Obyvatelstvo ve věku 15 a více let - ženy;
VSE2121;Obyvatelstvo ve věku 15 a více let - bez vzdělání;
VSE2122;Obyvatelstvo ve věku 15 a více let - bez vzdělání - muži;
VSE2123;Obyvatelstvo ve věku 15 a více let - bez vzdělání - ženy;
VSE2131;Obyvatelstvo ve věku 15 a více let - vzdělání základní včetně neukončeného;
VSE2132;Obyvatelstvo ve věku 15 a více let - vzdělání základní včetně neukončeného - muži;
VSE2133;Obyvatelstvo ve věku 15 a více let - vzdělání základní včetně neukončeného - ženy;
VSE2141;Obyvatelstvo ve věku 15 a více let - vzdělání střední včetně vyučení;
VSE2142;Obyvatelstvo ve věku 15 a více let - vzdělání střední včetně vyučení - muži;
VSE2143;Obyvatelstvo ve věku 15 a více let - vzdělání střední včetně vyučení - ženy;
VSE2151;Obyvatelstvo ve věku 15 a více let - vzdělání úplné střední;
VSE2152;Obyvatelstvo ve věku 15 a více let - vzdělání úplné střední - muži;
VSE2153;Obyvatelstvo ve věku 15 a více let - vzdělání úplné střední - ženy;
VSE2161;Obyvatelstvo ve věku 15 a více let - vzdělání nástavbové studium;
VSE2162;Obyvatelstvo ve věku 15 a více let - vzdělání nástavbové studium - muži;
VSE2163;Obyvatelstvo ve věku 15 a více let - vzdělání nástavbové studium - ženy;
VSE2171;Obyvatelstvo ve věku 15 a více let - vyšší odborné vzdělání;
VSE2172;Obyvatelstvo ve věku 15 a více let - vyšší odborné vzdělání - muži;
VSE2173;Obyvatelstvo ve věku 15 a více let - vyšší odborné vzdělání - ženy;
VSE2181;Obyvatelstvo ve věku 15 a více let - vzdělání vysokoškolské;
VSE2182;Obyvatelstvo ve věku 15 a více let - vzdělání vysokoškolské - muži;
VSE2183;Obyvatelstvo ve věku 15 a více let - vzdělání vysokoškolské - ženy;
VSE3111;Obyvatelstvo celkem;duplicitní ukazatel (VSE1111)
VSE3112;Obyvatelstvo muži;duplicitní ukazatel (VSE1112)
VSE3113;Obyvatelstvo ženy;duplicitní ukazatel (VSE1113)
VSE3121;Obyvatelstvo ve věku 0 - 14;
VSE3122;Obyvatelstvo ve věku 0 - 14 - muži;
VSE3123;Obyvatelstvo ve věku 0 - 14 - ženy;
VSE3131;Obyvatelstvo ve věku 15 - 19;
VSE3132;Obyvatelstvo ve věku 15 - 19 - muži;
VSE3133;Obyvatelstvo ve věku 15 - 19 - ženy;
VSE3141;Obyvatelstvo ve věku 20 - 29;
VSE3142;Obyvatelstvo ve věku 20 - 29 - muži;
VSE3143;Obyvatelstvo ve věku 20 - 29 - ženy;
VSE3151;Obyvatelstvo ve věku 30 - 39;
VSE3152;Obyvatelstvo ve věku 30 - 39 - muži;
VSE3153;Obyvatelstvo ve věku 30 - 39 - ženy;
VSE3161;Obyvatelstvo ve věku 40 - 49;
VSE3162;Obyvatelstvo ve věku 40 - 49 - muži;
VSE3163;Obyvatelstvo ve věku 40 - 49 - ženy;
VSE3171;Obyvatelstvo ve věku 50 - 59;
VSE3172;Obyvatelstvo ve věku 50 - 59 - muži;
VSE3173;Obyvatelstvo ve věku 50 - 59 - ženy;
VSE3181;Obyvatelstvo ve věku 60 - 64;
VSE3182;Obyvatelstvo ve věku 60 - 64 - muži;
VSE3183;Obyvatelstvo ve věku 60 - 64 - ženy;
VSE3191;Obyvatelstvo ve věku 65 - 69;
VSE3192;Obyvatelstvo ve věku 65 - 69 - muži;
VSE3193;Obyvatelstvo ve věku 65 - 69 - ženy;
VSE31101;Obyvatelstvo ve věku 70 - 79;
VSE31102;Obyvatelstvo ve věku 70 - 79 - muži;
VSE31103;Obyvatelstvo ve věku 70 - 79 - ženy;
VSE31111;Obyvatelstvo ve věku 80 a více let;
VSE31112;Obyvatelstvo ve věku 80 a více let - muži;
VSE31113;Obyvatelstvo ve věku 80 a více let - ženy;
VSE4111;Obyvatelstvo celkem;duplicitní ukazatel (VSE1111)
VSE4112;Obyvatelstvo muži;duplicitní ukazatel (VSE1112)
VSE4113;Obyvatelstvo ženy;duplicitní ukazatel (VSE1113)
VSE4121;Obyvatelstvo - národnost česká;
VSE4122;Obyvatelstvo - národnost česká - muži;
VSE4123;Obyvatelstvo - národnost česká - ženy;
VSE4131;Obyvatelstvo - národnost moravská;
VSE4132;Obyvatelstvo - národnost moravská - muži;
VSE4133;Obyvatelstvo - národnost moravská - ženy;
VSE4141;Obyvatelstvo - národnost slezská;
VSE4142;Obyvatelstvo - národnost slezská - muži;
VSE4143;Obyvatelstvo - národnost slezská - ženy;
VSE4151;Obyvatelstvo - národnost slovenská;
VSE4152;Obyvatelstvo - národnost slovenská - muži;
VSE4153;Obyvatelstvo - národnost slovenská - ženy;
VSE4161;Obyvatelstvo - národnost německá;
VSE4162;Obyvatelstvo - národnost německá - muži;
VSE4163;Obyvatelstvo - národnost německá -ženy;
VSE4171;Obyvatelstvo - národnost polská;
VSE4172;Obyvatelstvo - národnost polská -muži;
VSE4173;Obyvatelstvo - národnost polská - ženy;
VSE4181;Obyvatelstvo - národnost romská;
VSE4182;Obyvatelstvo - národnost romská - muži;
VSE4183;Obyvatelstvo - národnost romská -ženy;
VSE4191;Obyvatelstvo - národnost ukrajinská;
VSE4192;Obyvatelstvo - národnost ukrajinská - muži;
VSE4193;Obyvatelstvo - národnost ukrajinská - ženy;
VSE41101;Obyvatelstvo - národnost vietnamská;
VSE41102;Obyvatelstvo - národnost vietnamská -muži;
VSE41103;Obyvatelstvo - národnost vietnamská -ženy;
VSE41111;Obyvatelstvo - národnost neuvedena;
VSE41112;Obyvatelstvo - národnost neuvedena - muži;
VSE41113;Obyvatelstvo - národnost neuvedena - ženy;
VSE5111;Obyvatelstvo celkem;duplicitní ukazatel (VSE1111)
VSE5112;Obyvatelstvo muži;duplicitní ukazatel (VSE1112)
VSE5113;Obyvatelstvo ženy;duplicitní ukazatel (VSE1113)
VSE5121;Obyvatelstvo - věřící nehlásící se k církvi, náboženské společnosti;
VSE5122;Obyvatelstvo - věřící nehlásící se k církvi, náboženské společnosti- muži;
VSE5123;Obyvatelstvo - věřící nehlásící se k církvi, náboženské společnosti - ženy;
VSE5131;Obyvatelstvo - věřící hlásící se k církvi, náboženské společnosti;
VSE5132;Obyvatelstvo - věřící hlásící se k církvi, náboženské společnosti - muži;
VSE5133;Obyvatelstvo ¨- věřící hlásící se k církvi, náboženské společnosti - ženy;
VSE5141;Obyvatelstvo - náboženské vyznání Církev římskokatolická;
VSE5142;Obyvatelstvo - náboženské vyznání Církev římskokatolická - muži;
VSE5143;Obyvatelstvo - náboženské vyznání Církev římskokatolická - ženy;
VSE5151;Obyvatelstvo - náboženské vyznání Církev československá husitská;
VSE5152;Obyvatelstvo - náboženské vyznání Církev československá husitská - muži;
VSE5153;Obyvatelstvo - náboženské vyznání Církev československá husitská - ženy;
VSE5161;Obyvatelstvo - náboženské vyznání Českobratrská církev evangelická;
VSE5162;Obyvatelstvo -  náboženské vyznání Českobratrská církev evangelická - muži;
VSE5163;Obyvatelstvo -  náboženské vyznání Českobratrská církev evangelická - ženy;
VSE5171;Obyvatelstvo -  náboženské vyznání Svědkové Jehovovi;
VSE5172;Obyvatelstvo - náboženské vyznání Svědkové Jehovovi -muži;
VSE5173;Obyvatelstvo - náboženské vyznání Svědkové Jehovovi - ženy;
VSE5181;Obyvatelstvo - náboženské vyznání Pravoslavná církev v českých zemích;
VSE5182;Obyvatelstvo - náboženské vyznání Pravoslavná církev v českých zemích - muži;
VSE5183;Obyvatelstvo - náboženské vyznání Pravoslavná církev v českých zemích - ženy;
VSE5191;Obyvatelstvo bez náboženské víry;
VSE5192;Obyvatelstvo bez náboženské víry - muži;
VSE5193;Obyvatelstvo bez náboženské víry - ženy;
VSE51101;Obyvatelstvo - náboženské vyznání neuvedeno;
VSE51102;Obyvatelstvo - náboženské vyznání neuvedeno - muži;
VSE51103;Obyvatelstvo - náboženské vyznání neuvedeno - ženy;
VSE6111;Obyvatelstvo - ekonomicky aktivní ;
VSE6112;Obyvatelstvo - ekonomicky aktivní - muži;
VSE6113;Obyvatelstvo - ekonomicky aktivní - ženy;
VSE6121;Obyvatelstvo - ekonomicky aktivní - zaměstnaní;
VSE6122;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - muži;
VSE6123;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - ženy;
VSE6131;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání zaměstnanci;
VSE6132;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání  zaměstnanci - muži;
VSE6133;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání  zaměstnanci - ženy;
VSE6141;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání  zaměstnavatelé;
VSE6142;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání  zaměstnavatelé - muži;
VSE6143;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání  zaměstnavatelé - ženy;
VSE6151;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání  pracující na vlastní účet;
VSE6152;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání  pracující na vlastní účet - muži;
VSE6153;Obyvatelstvo - ekonomicky aktivní - zaměstnaní - postavení v zaměstnání  pracující na vlastní účet - ženy;
VSE6161;Obyvatelstvo - ekonomicky aktivní - pracující důchodci;
VSE6162;Obyvatelstvo - ekonomicky aktivní - pracující důchodci - muži;
VSE6163;Obyvatelstvo - ekonomicky aktivní - pracující důchodci - ženy;
VSE6171;Obyvatelstvo - ekonomicky aktivní -  ženy na mateřské dovolené;duplicitní ukazatel (VSE6173)
VSE6172;Obyvatelstvo - ekonomicky aktivní -  ženy na mateřské dovolené - muži;ukazatel nemá logický smysl, obsahuje nulové hodnoty
VSE6173;Obyvatelstvo - ekonomicky aktivní -  ženy na mateřské dovolené - ženy;
VSE6181;Obyvatelstvo - ekonomicky aktivní - nezaměstnaní;
VSE6182;Obyvatelstvo - ekonomicky aktivní - nezaměstnaní - muži;
VSE6183;Obyvatelstvo - ekonomicky aktivní - nezaměstnaní - ženy;
VSE6191;Obyvatelstvo - ekonomicky neaktivní ;
VSE6192;Obyvatelstvo - ekonomicky neaktivní - muži;
VSE6193;Obyvatelstvo - ekonomicky neaktivní - ženy ;
VSE61101;Obyvatelstvo - ekonomicky neaktivní - nepracující důchodci;
VSE61102;Obyvatelstvo - ekonomicky neaktivní - nepracující důchodci - muži;
VSE61103;Obyvatelstvo - ekonomicky neaktivní - nepracující důchodci - ženy;
VSE61111;Obyvatelstvo - ekonomicky neaktivní - žáci, studenti, učni;
VSE61112;Obyvatelstvo - ekonomicky neaktivní - žáci, studenti, učni - muži;
VSE61113;Obyvatelstvo - ekonomicky neaktivní - žáci, studenti, učni - ženy;
VSE61121;Obyvatelstvo - osoby s nezjištěnou ekonomickou aktivitou;
VSE61122;Obyvatelstvo - osoby s nezjištěnou ekonomickou aktivitou - muži;
VSE61123;Obyvatelstvo - osoby s nezjištěnou ekonomickou aktivitou - ženy;
