Kód,Kategorie,Název,IUCN,Orgán ochrany přírody
82,CHKO,Beskydy,V - chráněná krajina,AOPK ČR - RP SCHKO Beskydy
71,CHKO,Bílé Karpaty,V - chráněná krajina,AOPK ČR - RP SCHKO Bílé Karpaty
21,CHKO,Blaník,V - chráněná krajina,AOPK ČR - RP Střední Čechy
31,CHKO,Blanský les,V - chráněná krajina,AOPK ČR - RP Jižní Čechy
62,CHKO,Broumovsko,V - chráněná krajina,AOPK ČR - RP Východní Čechy
51,CHKO,České středohoří,V - chráněná krajina,AOPK ČR - RP Ústecko
55,NP,České Švýcarsko,II - národní park,Správa NP České Švýcarsko
22,CHKO,Český kras,V - chráněná krajina,AOPK ČR - RP Střední Čechy
44,CHKO,Český les,V - chráněná krajina,AOPK ČR - RP SCHKO Český les
63,CHKO,Český ráj,V - chráněná krajina,AOPK ČR - RP Liberecko
83,CHKO,Jeseníky,V - chráněná krajina,AOPK ČR - RP SCHKO Jeseníky
52,CHKO,Jizerské hory,V - chráněná krajina,AOPK ČR - RP Liberecko
23,CHKO,Kokořínsko - Máchův kraj,V - chráněná krajina,AOPK ČR - RP SCHKO Kokořínsko - Máchův kraj
66,NP,Krkonošský národní park,V - chráněná krajina,Správa KRNAP
24,CHKO,Křivoklátsko,V - chráněná krajina,AOPK ČR - RP Střední Čechy
53,CHKO,Labské pískovce,V - chráněná krajina,AOPK ČR - RP Ústecko
84,CHKO,Litovelské Pomoraví,V - chráněná krajina,AOPK ČR - RP SCHKO Litovelské Pomoraví
54,CHKO,Lužické hory,V - chráněná krajina,AOPK ČR - RP Liberecko
72,CHKO,Moravský kras,V - chráněná krajina,AOPK ČR - RP Jižní Morava
64,CHKO,Orlické hory,V - chráněná krajina,AOPK ČR - RP Východní Čechy
73,CHKO,Pálava,V - chráněná krajina,AOPK ČR - RP Jižní Morava
78,NP,Podyjí,II - národní park,Správa NP Podyjí
85,CHKO,Poodří,V - chráněná krajina,AOPK ČR - RP SCHKO Poodří
41,CHKO,Slavkovský les,V - chráněná krajina,AOPK ČR - RP SCHKO Slavkovský les
42,NP,Šumava,II - národní park,Správa NP Šumava
43,CHKO,Šumava,V - chráněná krajina,Správa NP Šumava
32,CHKO,Třeboňsko,V - chráněná krajina,AOPK ČR - RP Jižní Čechy
75,CHKO,Žďárské vrchy,V - chráněná krajina,AOPK ČR - RP SCHKO Žďárské vrchy
65,CHKO,Železné hory,V - chráněná krajina,AOPK ČR - RP Východní Čechy
